,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
45,UC Santa Barbara,31,21,10,.677,-0.57,-4.06,,10,6,,13,3,,8,7,,2195,2054,,1245,751,1673,.449,208,597,.348,344,484,.711,247,917,355,141,76,374,590
46,California,32,14,18,.438,3.20,9.05,,7,11,,12,5,,1,10,,2023,2210,,1295,748,1741,.430,240,661,.363,474,644,.736,279,1061,387,157,115,368,571
47,Campbell,31,15,16,.484,-8.51,-8.10,,6,12,,8,5,,6,10,,2130,2065,,1245,722,1641,.440,170,551,.309,451,642,.702,284,1044,312,200,65,429,463
48,Canisius,32,12,20,.375,-7.60,-5.44,,7,13,,7,6,,4,12,,2196,2265,,1280,801,1762,.455,220,633,.348,443,628,.705,309,1117,379,216,90,491,567
49,Central Arkansas,31,10,21,.323,-11.26,-2.70,,9,11,,8,4,,2,16,,2316,2553,,1270,892,1989,.448,275,740,.372,494,690,.716,341,1171,479,291,99,432,656
50,Central Connecticut State,31,4,27,.129,-20.33,-4.63,,3,15,,4,9,,0,16,,1959,2396,,1240,852,1854,.460,270,734,.368,422,607,.695,355,1220,473,226,131,404,503
51,Central Florida,30,16,14,.533,5.13,4.13,,7,11,,10,6,,4,7,,2067,2037,,1210,727,1731,.420,202,637,.317,381,509,.749,324,1068,422,205,77,429,537
52,Central Michigan,32,14,18,.438,-3.40,-0.26,,7,11,,12,4,,2,14,,2506,2454,,1285,893,1931,.462,288,761,.378,380,534,.712,308,1209,451,204,109,527,619
53,Charleston Southern,32,14,18,.438,-13.14,-6.98,,7,11,,9,6,,5,11,,2203,2304,,1295,849,1846,.460,228,680,.335,378,539,.701,312,1194,452,220,86,420,504
54,Charlotte,29,16,13,.552,0.46,-1.09,,10,8,,13,2,,3,11,,1922,1877,,1175,692,1570,.441,200,626,.319,293,433,.677,219,908,347,201,100,398,485
55,Chattanooga,33,20,13,.606,0.39,-1.90,,10,8,,10,4,,7,8,,2410,2261,,1325,845,1893,.446,218,693,.315,353,507,.696,266,1087,387,185,103,390,554
56,Chicago State,29,4,25,.138,-28.20,-2.85,,0,14,,3,11,,1,12,,1781,2372,,1160,805,1674,.481,264,665,.397,498,673,.740,292,1001,486,243,57,341,544
57,Cincinnati,30,20,10,.667,12.33,6.73,,13,5,,13,2,,5,6,,2182,2014,,1240,712,1788,.398,209,621,.337,381,522,.730,324,1024,361,201,117,421,574
58,The Citadel,30,6,24,.200,-13.82,-1.00,,0,18,,3,11,,3,12,,2244,2433,,1215,886,1948,.455,286,838,.341,375,534,.702,321,1155,460,230,80,418,520
59,Clemson,31,16,15,.516,10.26,7.88,,9,11,,11,6,,3,8,,2062,1988,,1255,698,1697,.411,244,749,.326,348,487,.715,259,1076,360,204,76,418,500
60,Cleveland State,32,11,21,.344,-11.16,-2.45,,7,11,,6,8,,3,13,,2053,2298,,1290,774,1800,.430,231,685,.337,519,720,.721,371,1156,425,225,151,457,621
61,Coastal Carolina,33,16,17,.485,-0.83,-0.31,,8,12,,9,9,,7,7,,2573,2518,,1320,807,1910,.423,289,849,.340,615,850,.724,342,1127,457,244,101,457,620
62,Colgate,34,25,9,.735,1.47,-5.63,,14,4,,15,2,,9,7,,2588,2315,,1365,876,2018,.434,242,780,.310,321,490,.655,320,1199,437,181,97,413,543
63,College of Charleston,31,17,14,.548,0.53,-0.84,,11,7,,10,5,,6,6,,2176,2109,,1240,741,1745,.425,216,660,.327,411,554,.742,316,1116,377,155,99,373,531
64,Colorado State,32,20,12,.625,6.70,3.96,,11,7,,12,4,,5,6,,2417,2307,,1300,848,1915,.443,279,815,.342,332,458,.725,268,1055,432,201,81,404,613
65,Colorado,32,21,11,.656,14.91,8.31,,10,8,,13,3,,4,7,,2268,2057,,1290,758,1830,.414,201,588,.342,340,478,.711,266,1010,352,234,94,422,598
66,Columbia,30,6,24,.200,-10.19,-2.50,,1,13,,5,7,,0,16,,1988,2181,,1215,820,1818,.451,236,711,.332,305,452,.675,268,1158,402,169,119,343,445
67,Connecticut,31,19,12,.613,11.15,5.34,,10,8,,14,3,,3,7,,2258,2078,,1280,728,1756,.415,173,524,.330,449,608,.738,326,1086,364,215,121,483,596
68,Coppin State,31,11,20,.355,-14.36,-8.27,,7,9,,5,5,,6,15,,2109,2298,,1250,815,1952,.418,265,794,.334,403,590,.683,359,1309,473,210,85,458,525
69,Cornell,27,7,20,.259,-8.37,-1.85,,4,10,,6,6,,1,14,,1818,1912,,1095,682,1521,.448,210,599,.351,338,473,.715,262,947,373,153,95,340,411
70,Creighton,31,24,7,.774,17.24,9.61,,13,5,,17,1,,6,5,,2428,2162,,1245,810,1928,.420,232,738,.314,310,444,.698,350,1147,413,150,100,383,511
71,Dartmouth,29,12,17,.414,-4.17,-3.20,,5,9,,6,6,,5,10,,1894,1872,,1170,675,1621,.416,226,700,.323,296,465,.637,216,965,338,173,72,323,449
72,Davidson,30,16,14,.533,8.85,3.62,,10,8,,11,1,,4,9,,2182,2025,,1230,718,1660,.433,204,615,.332,385,542,.710,248,976,361,154,85,345,510
73,Dayton,31,29,2,.935,19.17,3.69,,18,0,,17,0,,9,0,,2480,2000,,1255,727,1769,.411,194,588,.330,352,547,.644,305,981,343,167,83,400,556
74,Delaware State,32,6,26,.188,-20.87,-9.54,,4,12,,3,11,,2,13,,2350,2655,,1290,898,1925,.466,272,781,.348,587,825,.712,341,1274,501,254,107,472,588
75,Delaware,33,22,11,.667,-1.53,-3.84,,11,7,,10,3,,7,6,,2452,2332,,1325,822,1924,.427,262,747,.351,426,564,.755,311,1089,412,220,81,386,542
76,Denver,31,7,24,.226,-10.06,-1.99,,3,13,,6,8,,0,14,,2135,2360,,1250,799,1787,.447,250,776,.322,512,677,.756,269,1112,388,193,80,395,590
