,Rk,School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
215,216,NC State,25,14,11,.560,9.60,6.48,9,8,7,4,5,5,1820,1742,1005,640,1415,.452,170,497,.342,292,403,.725,262,840,327,158,93,371,429,68.2,101.7,.285,.351,.542,50.8,51.1,9.2,9.7,.512,18.8,31.5,.206
216,217,UNC Wilmington,17,7,10,.412,-6.84,-6.47,1,6,3,4,3,4,1297,1253,685,463,987,.469,93,292,.318,234,310,.755,168,605,190,90,53,239,319,70.7,103.6,.314,.296,.552,52.5,41.0,7.4,8.3,.516,17.4,30.3,.237
217,218,North Carolina NCAA,29,18,11,.621,14.79,9.52,10,6,10,1,3,7,2181,2028,1160,735,1734,.424,233,665,.350,325,466,.697,280,943,376,247,133,396,526,71.8,97.5,.269,.384,.519,43.2,51.2,11.9,10.1,.491,16.8,26.2,.187
218,219,North Dakota State,27,15,12,.556,-0.65,-2.72,11,5,6,2,5,7,1883,1827,1085,674,1541,.437,191,566,.337,288,405,.711,182,819,324,136,73,249,448,66.6,101.2,.263,.367,.527,45.1,48.1,7.5,7.7,.499,12.6,19.7,.187
219,220,North Dakota,26,9,17,.346,-10.35,-3.35,8,8,5,3,3,11,1787,1969,1055,715,1519,.471,186,484,.384,353,462,.764,227,927,334,167,88,308,477,69.0,108.2,.304,.319,.566,52.3,46.7,9.2,9.9,.532,15.1,26.5,.232
220,221,North Florida,23,8,15,.348,-11.48,-4.62,6,6,5,3,3,10,1601,1725,920,629,1405,.448,139,417,.333,328,445,.737,288,849,352,183,68,251,357,68.6,109.3,.317,.297,.534,53.1,56.0,11.6,10.4,.497,13.4,34.5,.233
221,222,North Texas NCAA,28,18,10,.643,7.58,1.02,9,5,8,3,5,6,1954,1745,1130,619,1501,.412,178,533,.334,329,455,.723,253,862,267,175,81,387,422,65.2,94.7,.303,.355,.508,48.2,43.1,9.5,8.6,.472,18.4,26.9,.219
222,223,Northeastern,19,10,9,.526,-1.09,0.02,8,2,5,1,4,7,1277,1298,765,479,1108,.432,113,350,.323,227,325,.698,177,675,220,129,41,226,294,68.4,99.2,.293,.316,.514,52.0,45.9,9.9,7.0,.483,15.2,26.3,.205
223,224,Northern Arizona,22,6,16,.273,-12.97,-1.61,4,10,1,7,4,7,1390,1640,885,583,1164,.501,190,513,.370,284,386,.736,174,745,331,118,66,266,384,65.3,113.5,.332,.441,.609,54.3,56.8,8.2,8.3,.582,16.5,27.9,.244
224,225,Northern Colorado,22,11,11,.500,-6.70,-4.22,6,8,6,5,4,5,1551,1519,885,562,1261,.446,87,293,.297,308,409,.753,155,694,199,137,55,233,367,69.4,99.0,.324,.232,.522,47.8,35.4,8.9,7.9,.480,13.8,21.0,.244
225,226,Northern Illinois,19,3,16,.158,-17.90,-2.80,2,12,2,7,1,9,1184,1471,765,511,1096,.466,177,454,.390,272,370,.735,201,704,300,115,58,217,300,67.4,114.1,.338,.414,.578,50.7,58.7,8.9,7.1,.547,14.6,31.3,.248
