School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Indiana,35,19,16,0.543,13.82,10.1,8,12,15,6,3,9,71.54285714285714,67.82857142857142,1420,26.257142857142856,57.4,0.457,6.0285714285714285,19.314285714285713,0.312,13.0,19.857142857142858,0.655,26.6,9.742857142857142,36.34285714285714,13.4,6.457142857142857,4.4,12.371428571428572,17.02857142857143,68.3,103.3,0.346,0.336,0.535,50.8,51.0,9.3,12.1,0.51,15.6,28.1,0.226,,,
Indiana State,31,15,16,0.484,-2.72,0.62,7,11,9,5,4,9,69.2258064516129,71.54838709677419,1250,24.419354838709676,55.45161290322581,0.44,5.741935483870968,15.838709677419354,0.363,14.64516129032258,20.032258064516128,0.731,24.419354838709676,8.064516129032258,32.483870967741936,11.03225806451613,6.67741935483871,2.3548387096774195,12.96774193548387,18.903225806451612,69.2,99.2,0.361,0.286,0.533,48.4,45.2,9.6,6.8,0.492,16.6,23.8,0.264,,,
Iona,33,17,16,0.515,-4.78,-5.5,12,6,8,3,5,9,76.72727272727273,76.0,1320,25.96969696969697,57.484848484848484,0.452,9.0,25.606060606060606,0.351,15.787878787878787,21.181818181818183,0.745,26.333333333333332,8.575757575757576,34.90909090909091,13.090909090909092,6.757575757575758,2.727272727272727,12.303030303030303,17.09090909090909,71.4,107.4,0.368,0.445,0.568,48.0,50.4,9.5,7.7,0.53,15.4,24.3,0.275,16.0,R64,MIDWEST
Iowa,35,23,12,0.657,14.27,9.84,10,10,14,4,4,6,78.28571428571429,73.85714285714286,1415,26.114285714285714,57.31428571428572,0.456,8.142857142857142,22.34285714285714,0.364,17.914285714285715,24.257142857142856,0.739,25.4,10.2,35.6,15.485714285714286,6.0285714285714285,3.2,12.2,16.142857142857142,70.2,110.4,0.423,0.39,0.569,50.6,59.3,8.5,9.0,0.527,15.1,29.5,0.313,10.0,R32,SOUTH
Iowa State,35,23,12,0.657,18.07,9.3,9,9,12,4,5,6,76.91428571428571,68.14285714285714,1400,27.82857142857143,58.48571428571429,0.476,8.4,23.17142857142857,0.363,12.857142857142858,17.571428571428573,0.732,25.8,9.342857142857143,35.142857142857146,15.057142857142857,7.057142857142857,4.571428571428571,10.82857142857143,14.771428571428572,68.2,112.7,0.3,0.396,0.575,50.3,54.1,10.3,12.5,0.548,13.9,28.4,0.22,6.0,R64,MIDWEST
IUPUI,33,16,17,0.485,-2.72,-3.04,8,10,11,4,3,13,75.96969696969697,73.60606060606061,1320,27.0,59.666666666666664,0.453,7.090909090909091,21.060606060606062,0.337,14.878787878787879,21.181818181818183,0.702,25.151515151515152,12.212121212121213,37.36363636363637,14.272727272727273,6.909090909090909,3.121212121212121,14.0,17.515151515151516,71.6,106.2,0.355,0.353,0.545,53.2,52.9,9.7,8.8,0.512,16.7,34.3,0.249,,,
Jackson State,32,13,19,0.406,-14.6,-9.33,10,8,9,4,3,14,61.6875,65.84375,1285,22.40625,55.4375,0.404,4.84375,17.3125,0.28,12.03125,18.96875,0.634,24.8125,10.34375,35.15625,11.21875,6.53125,3.875,13.625,20.09375,67.4,91.1,0.342,0.312,0.479,50.4,50.1,9.6,11.9,0.448,17.5,28.5,0.217,,,
Jacksonville,32,12,20,0.375,-8.27,-4.74,5,11,5,8,6,11,74.53125,75.0625,1285,27.78125,61.03125,0.455,6.65625,20.15625,0.33,12.3125,18.1875,0.677,26.03125,10.3125,36.34375,14.28125,6.65625,5.1875,14.46875,16.34375,73.3,101.3,0.298,0.33,0.535,50.5,51.4,9.0,13.0,0.51,17.2,28.4,0.202,,,
Jacksonville State,33,24,9,0.727,1.59,-5.47,15,3,11,1,10,7,78.0,69.18181818181819,1345,28.87878787878788,62.515151515151516,0.462,6.0606060606060606,19.21212121212121,0.315,14.181818181818182,19.09090909090909,0.743,27.575757575757574,12.121212121212121,39.696969696969695,13.666666666666666,7.424242424242424,4.181818181818182,13.333333333333334,16.757575757575758,71.3,107.4,0.305,0.307,0.545,54.3,47.3,10.2,12.2,0.51,15.7,33.4,0.227,,,
James Madison,33,14,19,0.424,-8.52,-4.07,6,12,8,6,4,11,70.36363636363636,73.0,1350,24.87878787878788,56.333333333333336,0.442,7.363636363636363,20.303030303030305,0.363,13.242424242424242,18.393939393939394,0.72,23.575757575757574,10.454545454545455,34.03030303030303,12.212121212121213,6.393939393939394,3.0606060606060606,12.727272727272727,18.545454545454547,66.0,104.3,0.327,0.36,0.541,50.6,49.1,9.5,8.3,0.507,16.4,30.8,0.235,,,
Kansas,36,26,10,0.722,18.35,12.79,12,6,16,0,3,8,75.69444444444444,70.13888888888889,1455,27.47222222222222,59.111111111111114,0.465,7.222222222222222,20.63888888888889,0.35,13.527777777777779,19.194444444444443,0.705,27.833333333333332,10.38888888888889,38.22222222222222,13.277777777777779,6.75,3.861111111111111,13.11111111111111,16.944444444444443,70.3,106.5,0.325,0.349,0.555,52.1,48.3,9.5,10.9,0.526,16.1,29.9,0.229,4.0,R32,MIDWEST
Kansas City,32,11,21,0.344,-6.61,-1.55,6,10,8,5,3,13,69.375,73.15625,1290,24.1875,56.0625,0.431,8.09375,22.75,0.356,12.90625,18.4375,0.7,22.03125,8.15625,30.1875,10.96875,7.28125,2.8125,12.21875,20.21875,68.6,100.3,0.329,0.406,0.535,45.4,45.3,10.5,8.0,0.504,15.9,23.7,0.23,,,
Kansas State,34,25,9,0.735,15.39,9.18,14,4,13,2,7,5,65.76470588235294,59.55882352941177,1360,23.705882352941178,55.23529411764706,0.429,7.088235294117647,21.205882352941178,0.334,11.264705882352942,16.88235294117647,0.667,23.88235294117647,9.558823529411764,33.44117647058823,13.647058823529411,7.529411764705882,2.235294117647059,11.323529411764707,16.176470588235293,64.9,101.3,0.306,0.384,0.52,50.9,57.6,11.6,7.7,0.493,15.2,28.4,0.204,4.0,R64,SOUTH
Kennesaw State,32,6,26,0.188,-16.17,-1.04,3,13,6,8,0,15,63.4375,76.71875,1285,23.1875,60.78125,0.381,4.25,13.6875,0.311,12.8125,18.4375,0.695,24.71875,11.625,36.34375,11.3125,5.78125,3.3125,13.65625,16.40625,70.9,89.1,0.303,0.225,0.456,48.7,48.8,8.1,8.7,0.416,16.4,29.4,0.211,,,
Kent State,33,22,11,0.667,1.26,0.61,11,7,14,3,8,7,75.18181818181819,73.24242424242425,1330,26.606060606060606,61.57575757575758,0.432,7.909090909090909,23.484848484848484,0.337,14.06060606060606,19.424242424242426,0.724,23.424242424242426,12.484848484848484,35.90909090909091,13.030303030303031,6.848484848484849,3.606060606060606,11.454545454545455,18.21212121212121,69.4,107.5,0.315,0.381,0.531,51.0,49.0,9.8,10.2,0.496,13.9,33.7,0.228,,,
Kentucky,37,30,7,0.811,21.43,10.29,15,3,17,1,8,2,75.83783783783784,64.70270270270271,1490,26.43243243243243,55.4054054054054,0.477,5.8108108108108105,16.405405405405407,0.354,17.16216216216216,23.216216216216218,0.739,27.054054054054053,11.54054054054054,38.5945945945946,13.54054054054054,5.945945945945946,4.756756756756757,12.594594594594595,16.216216216216218,67.3,111.9,0.419,0.296,0.571,56.9,51.2,8.8,13.4,0.53,15.9,36.4,0.31,2.0,E8,MIDWEST
La Salle,31,10,21,0.323,-3.61,1.29,8,10,5,9,3,8,67.45161290322581,72.35483870967742,1240,23.193548387096776,58.0,0.4,8.35483870967742,25.258064516129032,0.331,12.709677419354838,16.516129032258064,0.77,23.612903225806452,10.580645161290322,34.193548387096776,12.612903225806452,7.419354838709677,3.161290322580645,14.03225806451613,20.322580645161292,69.5,97.0,0.285,0.435,0.512,48.9,54.4,10.7,8.6,0.472,17.6,28.8,0.219,,,
