School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON
Boston University,34,21,13,0.618,-1.87,-5.3,12,6,12,3,9,8,70.88235294117646,66.73529411764706,1375,27.029411764705884,58.76470588235294,0.46,6.588235294117647,20.205882352941178,0.326,10.235294117647058,15.882352941176471,0.644,26.029411764705884,10.088235294117647,36.11764705882353,12.647058823529411,5.5,2.264705882352941,11.294117647058824,15.088235294117647,66.8,105.0,0.27,0.344,0.534,52.1,46.8,8.1,6.1,0.516,14.6,28.9,0.174,,
Bowling Green State,31,21,10,0.677,0.47,0.2,12,6,13,2,5,5,74.51612903225806,72.87096774193549,1250,26.516129032258064,63.483870967741936,0.418,7.806451612903226,23.129032258064516,0.338,13.67741935483871,18.193548387096776,0.752,28.677419354838708,11.258064516129032,39.935483870967744,12.258064516129032,5.451612903225806,2.2903225806451615,11.064516129032258,17.580645161290324,71.6,103.2,0.287,0.364,0.517,51.1,46.2,7.6,6.1,0.479,13.3,28.7,0.215,,
Bradley,34,23,11,0.676,5.33,0.33,11,7,15,2,4,8,71.70588235294117,65.88235294117646,1370,25.647058823529413,58.11764705882353,0.441,6.764705882352941,18.176470588235293,0.372,13.647058823529411,18.558823529411764,0.735,27.441176470588236,11.088235294117647,38.529411764705884,13.441176470588236,4.794117647058823,4.0588235294117645,11.764705882352942,16.529411764705884,67.3,105.7,0.319,0.313,0.536,53.5,52.4,7.1,12.5,0.499,14.9,31.5,0.235,,
Brigham Young,32,24,8,0.75,16.93,6.45,13,3,14,1,6,5,79.625,68.375,1295,29.65625,59.28125,0.5,10.375,24.53125,0.423,9.9375,14.1875,0.7,26.625,6.53125,33.15625,17.3125,5.8125,2.09375,11.03125,16.03125,69.7,112.8,0.239,0.414,0.603,49.6,58.4,8.2,5.4,0.588,14.3,20.5,0.168,,
Brown,27,15,12,0.556,-4.45,-1.72,8,6,10,4,5,8,67.0,68.66666666666667,1080,23.185185185185187,58.370370370370374,0.397,6.777777777777778,22.22222222222222,0.305,13.851851851851851,18.962962962962962,0.73,25.962962962962962,12.296296296296296,38.25925925925926,11.25925925925926,6.62962962962963,4.37037037037037,15.0,16.703703703703702,70.2,95.4,0.325,0.381,0.497,52.1,48.6,9.4,11.9,0.455,18.2,32.3,0.237,,
Bryant,32,15,17,0.469,-6.7,-6.67,7,11,9,5,6,12,70.96875,69.46875,1285,25.0625,60.375,0.415,8.40625,26.15625,0.321,12.4375,18.375,0.677,28.125,12.15625,40.28125,13.78125,6.46875,4.375,14.375,18.375,70.7,100.0,0.304,0.433,0.513,52.0,55.0,9.1,11.3,0.485,17.2,31.6,0.206,,
Bucknell,34,14,20,0.412,-7.73,-4.32,8,10,9,4,4,14,67.61764705882354,71.02941176470588,1360,24.11764705882353,57.205882352941174,0.422,8.205882352941176,23.91176470588235,0.343,11.176470588235293,16.264705882352942,0.687,23.970588235294116,8.411764705882353,32.38235294117647,12.058823529411764,7.147058823529412,3.4411764705882355,13.264705882352942,18.58823529411765,69.9,96.7,0.284,0.418,0.521,47.9,50.0,10.2,9.4,0.493,17.0,24.0,0.195,,
Buffalo,32,20,12,0.625,1.8,0.06,11,7,10,7,7,4,78.625,75.78125,1290,28.96875,66.84375,0.433,8.15625,25.28125,0.323,12.53125,18.6875,0.671,27.5,14.46875,41.96875,14.78125,7.78125,4.59375,13.65625,18.75,74.7,104.5,0.28,0.378,0.519,52.5,51.0,10.3,11.1,0.494,15.3,35.0,0.187,,
Butler,31,22,9,0.71,15.56,9.14,10,8,14,3,5,6,68.54838709677419,62.12903225806452,1245,25.032258064516128,54.41935483870968,0.46,6.838709677419355,20.032258064516128,0.341,11.64516129032258,16.0,0.728,25.774193548387096,9.03225806451613,34.806451612903224,12.741935483870968,5.32258064516129,2.6451612903225805,11.258064516129032,16.741935483870968,64.6,105.7,0.294,0.368,0.553,53.3,50.9,8.2,7.8,0.523,15.4,29.4,0.214,,
Cal Poly,30,7,23,0.233,-10.0,-0.42,4,12,7,6,0,15,67.56666666666666,74.93333333333334,1235,23.666666666666668,56.166666666666664,0.421,6.666666666666667,19.1,0.349,13.566666666666666,19.566666666666666,0.693,24.433333333333334,8.133333333333333,32.56666666666667,10.4,6.4,2.466666666666667,13.633333333333333,20.966666666666665,68.8,95.4,0.348,0.34,0.516,46.9,43.9,9.0,6.9,0.481,17.2,23.0,0.242,,
