School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Butler,34,23,11,0.676,16.64,8.62,12,6,13,3,7,4,2346,2073,1380,740,1785,0.415,187,610,0.307,406,595,0.682,281,1049,374,183,151,431,654,64.2,93.5,0.333,0.342,0.501,45.8,50.5,8.3,11.3,0.467,17.2,25.3,0.227,6.0,R32,MIDWEST
Cal Poly,29,13,16,0.448,-0.57,0.43,6,10,7,4,5,10,1752,1721,1170,622,1459,0.426,167,479,0.349,310,449,0.69,253,961,353,115,98,306,464,59.3,99.3,0.308,0.328,0.515,49.0,56.8,6.6,9.3,0.484,15.5,27.7,0.212,NA,NA,NA
Cal State Bakersfield,33,14,19,0.424,-6.4,-5.8,7,7,9,5,3,10,2100,2028,1345,647,1572,0.412,220,606,0.363,514,737,0.697,274,983,350,172,118,403,618,61.2,98.6,0.469,0.385,0.528,46.2,54.1,8.4,10.3,0.482,17.3,26.1,0.327,NA,NA,NA
Cal State Fullerton,31,9,22,0.29,-8.58,-1.06,1,15,6,9,1,13,1991,2155,1255,742,1676,0.443,210,553,0.38,461,656,0.703,274,1059,408,182,119,345,567,65.6,104.7,0.391,0.33,0.542,49.3,55.0,8.8,10.2,0.505,14.8,26.4,0.275,NA,NA,NA
UC Davis,32,25,7,0.781,2.19,-2.58,14,2,14,0,10,6,2263,2068,1295,730,1760,0.415,209,612,0.342,399,573,0.696,377,1018,395,218,76,380,567,62.9,101.5,0.326,0.348,0.509,50.6,54.1,10.7,7.8,0.474,15.8,33.8,0.227,NA,NA,NA
UC Irvine,34,21,13,0.618,3.63,0.45,11,5,10,3,6,9,2295,2113,1370,739,1878,0.394,184,542,0.339,451,650,0.694,382,1144,364,195,96,384,568,63.7,96.8,0.346,0.289,0.483,48.8,49.3,8.9,7.4,0.442,14.9,30.5,0.24,13.0,R64,EAST
UC Santa Barbara,33,19,14,0.576,3.47,0.98,11,5,12,2,4,10,2258,2112,1345,713,1729,0.412,201,583,0.345,485,664,0.73,332,1093,397,156,68,390,578,62.7,100.1,0.384,0.337,0.517,49.1,55.7,7.4,5.5,0.471,16.0,29.8,0.281,NA,NA,NA
California,33,18,15,0.545,5.36,6.15,7,11,11,7,5,6,2195,2221,1330,783,1839,0.426,156,464,0.336,499,715,0.698,292,1141,355,168,122,317,565,66.3,100.8,0.389,0.252,0.51,49.4,45.3,7.6,9.0,0.468,12.7,25.1,0.271,NA,NA,NA
Central Florida,30,12,18,0.4,-5.73,0.78,5,13,10,8,2,9,1981,2153,1230,825,1809,0.456,195,552,0.353,306,494,0.619,394,1102,453,202,119,312,513,64.0,109.5,0.273,0.305,0.527,52.5,54.9,10.3,11.4,0.51,13.2,36.5,0.169,NA,NA,NA
Chattanooga,32,22,10,0.688,-1.63,-4.06,15,3,15,2,7,7,2325,2141,1305,740,1731,0.427,164,478,0.343,497,725,0.686,351,1076,331,187,133,431,636,66.2,99.2,0.419,0.276,0.516,49.0,44.7,8.7,11.7,0.475,17.2,32.0,0.287,NA,NA,NA
