School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON
Saint Peter's,30,18,12,0.6,-3.67,-5.9,14,6,11,3,6,9,1990,1923,1205,638,1583,0.403,183,570,0.321,464,646,0.718,281,960,345,230,145,454,543,68.6,93.0,0.408,0.36,0.509,46.1,54.1,11.1,12.9,0.461,19.4,27.3,0.293,NA,NA
Sam Houston State,31,18,13,0.581,-5.17,-6.5,11,9,12,3,6,10,2417,2245,1265,734,1747,0.42,234,736,0.318,543,735,0.739,305,1084,395,218,99,572,575,74.4,95.4,0.421,0.421,0.536,50.6,53.8,9.3,7.9,0.487,21.4,29.0,0.311,NA,NA
Samford,33,10,23,0.303,-13.13,-1.13,4,14,7,8,3,14,2448,2711,1330,1000,2179,0.459,359,989,0.363,352,519,0.678,411,1288,617,254,114,467,618,74.6,109.3,0.238,0.454,0.559,51.6,61.7,10.2,8.5,0.541,16.1,32.4,0.162,NA,NA
San Diego,32,9,23,0.281,-3.52,4.35,2,14,6,9,3,10,2101,2319,1295,850,1892,0.449,193,608,0.317,426,597,0.714,295,1129,403,220,108,416,575,70.9,101.0,0.316,0.321,0.533,51.5,47.4,9.6,8.9,0.5,16.1,27.5,0.225,NA,NA
San Francisco,34,22,12,0.647,8.56,3.84,9,7,12,5,7,6,2546,2339,1375,851,1911,0.445,209,559,0.374,428,594,0.721,270,1122,361,205,97,442,572,69.2,98.4,0.311,0.293,0.533,47.6,42.4,8.6,8.4,0.5,16.8,23.6,0.224,NA,NA
San Jose State,31,7,24,0.226,-7.55,5.15,3,15,6,10,1,12,2167,2523,1245,916,1927,0.475,240,670,0.358,451,651,0.693,331,1260,580,227,76,409,580,74.1,109.4,0.338,0.348,0.564,54.0,63.3,9.8,7.5,0.538,15.5,30.0,0.234,NA,NA
Santa Clara,33,20,13,0.606,1.95,0.63,6,10,16,5,3,7,2498,2365,1325,817,1925,0.424,212,636,0.333,519,724,0.717,312,1181,408,214,95,460,605,73.0,97.8,0.376,0.33,0.521,51.1,49.9,8.9,8.0,0.479,16.9,26.0,0.27,NA,NA
Seattle,29,14,15,0.483,-3.95,-3.91,7,7,9,4,3,10,2177,2110,1185,713,1682,0.424,189,597,0.317,495,673,0.736,276,1074,354,153,89,396,598,71.4,99.8,0.4,0.355,0.527,51.1,49.6,7.2,7.9,0.48,16.5,27.5,0.294,NA,NA
Siena,30,20,10,0.667,-1.13,-5.66,15,5,14,0,5,10,2167,2031,1215,745,1740,0.428,193,606,0.318,348,468,0.744,270,954,336,172,110,350,539,67.1,99.6,0.269,0.348,0.518,46.5,45.1,8.4,9.8,0.484,15.1,25.8,0.2,NA,NA
South Alabama,31,20,11,0.645,0.08,-1.03,13,7,11,5,7,5,2209,2092,1245,747,1764,0.423,279,814,0.343,319,459,0.695,328,1046,422,165,115,431,544,67.1,100.2,0.26,0.461,0.528,50.7,56.5,7.9,9.9,0.503,17.9,30.1,0.181,NA,NA
South Carolina State,29,11,18,0.379,-16.01,-9.27,6,10,8,5,3,12,2037,2180,1185,782,1682,0.465,205,599,0.342,411,613,0.67,276,967,354,158,99,358,553,69.1,106.4,0.364,0.356,0.552,48.5,45.3,7.7,8.7,0.526,15.4,27.6,0.244,NA,NA
South Carolina Upstate,33,13,20,0.394,-13.58,-6.06,7,11,9,6,4,13,2286,2460,1320,845,1823,0.464,257,719,0.357,513,713,0.719,315,1207,407,193,101,451,564,69.8,106.8,0.391,0.394,0.569,52.6,48.2,8.4,8.3,0.534,17.3,29.0,0.281,NA,NA
South Dakota,32,20,12,0.625,-1.74,-3.84,10,6,13,2,5,8,2547,2374,1280,853,1884,0.453,235,658,0.357,433,587,0.738,237,1026,362,167,79,364,654,71.4,103.8,0.312,0.349,0.549,49.5,42.4,7.3,6.5,0.515,14.4,21.9,0.23,NA,NA
South Florida,31,14,17,0.452,5.15,5.18,7,11,10,7,3,6,1943,1944,1250,686,1548,0.443,207,620,0.334,365,534,0.684,235,969,350,205,99,475,552,65.5,95.0,0.345,0.401,0.54,48.0,51.0,10.0,9.7,0.51,20.9,25.2,0.236,NA,NA
Southeast Missouri State,31,7,24,0.226,-14.57,-5.29,3,15,6,7,0,16,2054,2307,1245,830,1757,0.472,237,650,0.365,410,590,0.695,287,1121,468,171,102,389,563,68.8,107.7,0.336,0.37,0.566,52.2,56.4,8.0,9.0,0.54,16.0,27.9,0.233,NA,NA
Southeastern Louisiana,31,8,23,0.258,-16.11,-5.72,5,15,6,8,2,14,2157,2429,1255,845,1772,0.477,207,631,0.328,532,712,0.747,339,1174,477,228,99,541,578,74.0,104.6,0.402,0.356,0.576,54.0,56.4,9.8,8.2,0.535,20.4,33.8,0.3,NA,NA
