School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION,YEAR
Oregon,34,24,10,0.706,15.75,8.05,10,8,15,3,5,5,2783,2521,1385,838,1907,0.439,198,611,0.324,647,912,0.709,377,1125,422,166,125,458,697,69.9,104.1,0.478,0.32,0.539,49.3,50.4,6.9,9.5,0.491,16.4,31.9,0.339,7.0,R32,WEST,2014
Pennsylvania,28,8,20,0.286,-6.59,-0.01,5,9,6,8,2,12,1911,2095,1125,668,1581,0.423,210,548,0.383,549,782,0.702,353,1022,371,209,113,359,520,70.1,106.3,0.495,0.347,0.537,52.1,55.5,10.6,10.5,0.489,15.5,34.5,0.347,NA,NA,NA,2014
Pittsburgh,36,26,10,0.722,17.46,7.54,11,7,13,5,7,2,2586,2229,1466,771,1872,0.412,205,628,0.326,482,682,0.707,352,1079,406,171,144,440,673,62.4,97.4,0.364,0.335,0.508,45.5,52.7,7.5,10.1,0.467,16.7,29.1,0.257,9.0,R32,SOUTH,2014
Prairie View,34,11,23,0.324,-16.72,-7.99,6,12,6,6,2,16,2362,2623,1405,883,1905,0.464,207,597,0.347,650,956,0.68,438,1322,474,232,140,469,662,68.3,109.2,0.502,0.313,0.556,53.2,53.7,9.7,10.8,0.518,16.6,36.5,0.341,NA,NA,NA,2014
Princeton,30,21,9,0.7,3.01,-2.4,8,6,11,2,9,6,2118,1931,1220,679,1584,0.429,150,462,0.325,423,577,0.733,249,980,313,183,92,369,551,64.6,98.1,0.364,0.292,0.52,49.9,46.1,9.3,11.2,0.476,16.6,25.4,0.267,NA,NA,NA,2014
Providence,35,23,12,0.657,11.37,7.85,10,8,13,3,5,6,2566,2443,1450,893,2017,0.443,188,574,0.328,469,681,0.689,374,1163,422,200,113,383,689,64.9,103.9,0.338,0.285,0.522,47.6,47.3,8.5,8.3,0.489,14.1,30.7,0.233,11.0,R64,EAST,2014
Purdue,32,15,17,0.469,8.21,7.62,5,13,12,5,2,8,2312,2293,1310,771,1842,0.419,203,623,0.326,548,772,0.71,357,1143,409,216,171,371,632,67.9,103.2,0.419,0.338,0.519,47.6,53.0,9.7,12.3,0.474,14.4,30.6,0.298,NA,NA,NA,2014
Radford,35,22,13,0.629,-7.9,-8.31,10,6,10,4,9,8,2729,2600,1405,925,1992,0.464,218,575,0.379,532,760,0.7,377,1188,415,191,103,443,666,68.7,107.7,0.382,0.289,0.552,49.5,44.9,7.9,7.2,0.519,15.8,31.6,0.267,NA,NA,NA,2014
Rhode Island,32,14,18,0.438,2.87,3.26,5,12,10,6,3,11,2169,2178,1285,762,1775,0.429,143,499,0.287,511,762,0.671,351,1085,336,230,137,374,648,67.4,100.6,0.429,0.281,0.51,48.5,44.1,10.6,11.1,0.47,14.9,30.5,0.288,NA,NA,NA,2014
Robert Morris,36,22,14,0.611,-3.52,-3.79,14,2,12,3,10,11,2593,2583,1445,895,1978,0.452,259,772,0.335,534,759,0.704,380,1240,522,193,147,462,631,66.9,106.9,0.384,0.39,0.552,50.7,58.3,8.0,11.1,0.518,16.5,31.6,0.27,NA,NA,NA,2014
Rutgers,33,12,21,0.364,-0.29,5.8,5,13,10,10,1,10,2347,2515,1320,835,1868,0.447,238,642,0.371,607,834,0.728,373,1190,455,218,117,400,661,69.4,109.9,0.446,0.344,0.555,50.4,54.5,9.5,8.7,0.511,15.0,32.6,0.325,NA,NA,NA,2014
Saint Joseph's,34,24,10,0.706,9.05,5.08,11,5,11,4,8,4,2433,2298,1365,825,1966,0.42,231,676,0.342,417,602,0.693,343,1123,459,224,81,344,649,66.0,102.1,0.306,0.344,0.51,48.0,55.6,10.0,7.2,0.478,13.3,27.6,0.212,10.0,R64,EAST,2014
Saint Louis,34,27,7,0.794,11.63,4.24,13,3,14,3,11,1,2374,2105,1375,755,1875,0.403,139,481,0.289,456,665,0.686,354,1182,354,244,152,485,655,67.4,90.8,0.355,0.257,0.48,49.0,46.9,10.5,12.0,0.44,18.1,28.5,0.243,5.0,R32,MIDWEST,2014
