,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
86,Fairleigh Dickinson NCAA,35,20,15,.571,-10.59,-11.59,,10,6,,10,5,,8,9,,2730,2608,,69.9,105.5,.337,.394,.580,49.4,56.2,8.2,9.7,.547,19.5,28.4,.251
87,Florida,33,16,17,.485,11.23,8.60,,9,9,,10,6,,4,7,,2351,2264,,69.7,98.1,.292,.304,.497,52.7,44.6,9.4,8.5,.463,15.3,30.7,.206
88,Florida A&M,29,7,22,.241,-17.55,-4.74,,5,13,,4,7,,3,15,,1700,2030,,66.5,104.9,.439,.344,.534,52.2,50.2,12.3,10.8,.499,16.0,33.5,.293
89,Florida Atlantic NCAA,34,31,3,.912,13.46,0.59,,18,2,,17,0,,11,3,,2679,2209,,69.0,93.5,.267,.345,.494,45.8,33.1,8.2,6.9,.457,16.3,24.1,.199
90,Florida Gulf Coast,32,17,15,.531,-2.51,-2.96,,7,11,,8,5,,6,9,,2280,2222,,66.7,103.4,.279,.413,.531,50.4,50.9,8.5,9.1,.504,15.3,28.4,.194
91,Florida International,32,14,18,.438,-2.97,0.06,,8,12,,11,7,,3,10,,2339,2404,,71.0,104.2,.304,.401,.551,54.7,53.3,11.4,9.1,.518,19.5,36.1,.225
92,Florida State,32,9,23,.281,-0.45,6.43,,7,13,,5,11,,4,7,,2219,2439,,69.0,110.5,.309,.411,.565,52.9,55.4,7.5,7.5,.531,14.9,31.5,.234
93,Fordham,33,25,8,.758,2.38,-2.01,,12,6,,18,2,,6,5,,2376,2231,,70.0,95.9,.373,.305,.515,48.0,48.7,9.1,9.0,.469,17.1,25.2,.273
94,Fresno State,31,11,20,.355,2.93,5.43,,6,12,,7,7,,4,9,,1974,2036,,64.0,102.6,.319,.375,.550,51.9,52.6,8.8,9.7,.513,17.8,27.8,.241
95,Furman NCAA,34,27,7,.794,5.08,-3.92,,15,3,,14,2,,8,3,,2791,2421,,69.7,101.1,.300,.354,.535,48.2,43.8,8.1,8.2,.505,16.6,26.8,.211
