,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
82,Eastern Washington,33,23,10,.697,1.78,-1.75,,16,2,,11,2,,10,6,,2547,2358,,68.9,112.0,.313,.437,.601,53.9,56.2,7.3,9.7,.572,17.5,29.5,.238
83,Elon,32,8,24,.250,-12.79,-4.32,,6,12,,5,9,,3,12,,2094,2291,,67.0,97.7,.277,.403,.517,48.4,51.0,9.1,6.7,.486,16.3,25.7,.197
84,Evansville,32,5,27,.156,-14.77,-1.18,,1,19,,3,10,,1,14,,1997,2432,,69.8,89.4,.294,.336,.476,45.1,45.0,10.0,5.8,.451,15.8,20.7,.185
85,Fairfield,31,13,18,.419,-6.93,-4.46,,9,11,,7,6,,4,10,,2012,2045,,64.9,98.7,.373,.369,.508,49.6,42.9,8.3,9.5,.463,15.6,28.8,.270
86,Fairleigh Dickinson NCAA,35,20,15,.571,-10.59,-11.59,,10,6,,10,5,,8,9,,2730,2608,,69.9,110.4,.278,.377,.553,50.6,52.5,11.4,5.8,.522,14.1,32.1,.209
87,Florida,33,16,17,.485,11.23,8.60,,9,9,,10,6,,4,7,,2351,2264,,69.7,101.8,.345,.368,.530,47.3,48.9,9.7,12.3,.494,14.3,23.8,.247
88,Florida A&M,29,7,22,.241,-17.55,-4.74,,5,13,,4,7,,3,15,,1700,2030,,66.5,87.8,.323,.347,.480,47.8,47.1,9.9,10.2,.442,20.8,29.3,.223
89,Florida Atlantic NCAA,34,31,3,.912,13.46,0.59,,18,2,,17,0,,11,3,,2679,2209,,69.0,113.4,.293,.439,.578,54.2,51.8,9.8,6.5,.554,14.7,30.7,.210
90,Florida Gulf Coast,32,17,15,.531,-2.51,-2.96,,7,11,,8,5,,6,9,,2280,2222,,66.7,106.1,.275,.451,.547,49.6,50.8,10.2,9.6,.517,14.9,27.2,.203
91,Florida International,32,14,18,.438,-2.97,0.06,,8,12,,11,7,,3,10,,2339,2404,,71.0,101.4,.291,.361,.552,45.3,45.8,12.6,11.2,.525,18.3,25.5,.207
