School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Western Kentucky,33,17,16,.515,-1.09,0.81,8,12,9,5,5,9,2355,2330,1330,839,1907,.440,249,695,.358,428,601,.712,300,1152,416,204,173,383,489,68.4,103.5,.315,.364,.537,48.3,49.6,9.0,15.0,.505,14.9,26.0,.224,,,
Western Michigan,31,8,23,.258,-10.21,-2.00,4,14,7,7,1,15,2166,2295,1240,786,1820,.432,250,757,.330,344,482,.714,379,1146,396,143,68,395,522,66.7,104.7,.265,.416,.529,53.4,50.4,6.9,6.4,.501,16.2,34.3,.189,,,
Wichita State,32,17,15,.531,6.24,3.71,9,9,8,8,7,4,2272,2191,1300,827,1839,.450,212,685,.309,406,567,.716,312,1163,426,203,129,401,478,67.8,103.1,.308,.372,.539,51.5,51.5,9.2,11.3,.507,16.0,29.1,.221,,,
William & Mary,33,13,20,.394,-10.99,-4.18,7,11,11,5,1,14,2219,2320,1325,791,1829,.432,256,698,.367,381,559,.682,330,1095,401,199,67,398,533,65.3,102.6,.306,.382,.530,49.6,50.7,9.2,5.7,.502,16.0,29.2,.208,,,
Winthrop,32,15,17,.469,-6.62,-3.59,10,8,10,4,4,11,2360,2382,1285,787,1671,.471,283,757,.374,503,681,.739,260,993,366,164,98,447,538,67.8,108.4,.408,.453,.592,47.7,46.5,7.5,8.4,.556,18.3,26.5,.301,,,
Wisconsin,32,18,14,.563,11.13,9.44,9,11,10,6,5,6,2094,2040,1310,762,1836,.415,260,745,.349,310,456,.680,251,1003,374,194,50,273,512,63.2,101.2,.248,.406,.510,47.0,49.1,9.4,4.6,.486,11.7,22.3,.169,,,
Wofford,33,17,16,.515,-4.86,-3.16,8,10,12,4,4,11,2466,2392,1340,906,1916,.473,247,748,.330,407,552,.737,312,1088,412,188,68,361,468,66.4,110.8,.288,.390,.566,51.5,45.5,8.4,6.1,.537,14.2,29.8,.212,,,
Wright State,33,18,15,.545,-2.10,-5.65,10,10,9,6,7,8,2637,2432,1350,1031,2077,.496,205,574,.357,370,502,.737,304,1212,495,207,99,419,514,72.0,108.5,.242,.276,.569,51.6,48.0,8.5,7.8,.546,15.3,27.3,.178,,,
Wyoming,31,9,22,.290,2.33,6.43,4,14,7,8,1,8,2144,2234,1245,740,1680,.440,268,768,.349,396,557,.711,246,994,345,151,79,371,488,66.4,103.7,.332,.457,.551,49.3,46.6,7.3,7.5,.520,16.0,24.1,.236,,,
Xavier,34,25,9,.735,16.34,8.98,15,5,15,2,7,4,2768,2518,1365,1027,2077,.494,257,650,.395,457,640,.714,359,1280,655,222,108,429,540,71.8,112.9,.308,.313,.581,54.1,63.8,9.1,7.8,.556,15.3,31.8,.220,3,,MIDWEST
Yale,30,21,9,.700,7.61,-1.82,10,4,10,2,8,7,2273,1897,1210,841,1764,.477,224,620,.361,367,529,.694,298,1133,439,191,123,335,521,67.5,111.3,.300,.351,.564,54.2,52.2,9.3,12.6,.540,14.3,29.7,.208,,,
Youngstown State,34,24,10,.706,1.92,-5.58,15,5,14,3,9,6,2785,2465,1385,1017,2088,.487,271,743,.365,480,616,.779,351,1204,521,238,94,376,550,69.5,115.8,.295,.356,.585,51.7,51.2,9.9,6.9,.552,13.6,31.0,.230,,,
