School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON
Seton Hall,34,25,9,0.735,14.66,8.28,12,6,13,3,7,4,2522,2305,1365,814,2027,0.402,212,669,0.317,465,685,0.679,408,1231,414,245,137,469,719,70.7,95.5,0.338,0.33,0.49,47.6,50.9,10.1,9.8,0.454,16.6,30.8,0.229,6.0,R64
South Carolina,34,25,9,0.735,12.01,5.83,11,7,16,3,5,5,2583,2357,1370,779,1962,0.397,287,807,0.356,512,751,0.682,381,1167,434,215,156,505,768,71.4,96.3,0.383,0.411,0.508,46.0,55.7,8.8,10.9,0.47,17.9,29.7,0.261,NA,NA
South Dakota State,34,26,8,0.765,5.44,-1.22,12,4,13,0,8,7,2591,2316,1360,789,1888,0.418,207,622,0.333,531,736,0.721,311,1102,376,192,121,411,708,68.8,99.0,0.39,0.329,0.518,46.3,47.7,8.2,9.8,0.473,15.5,25.7,0.281,12.0,R64
Southern California,34,21,13,0.618,13.52,7.64,9,9,16,2,3,7,2737,2537,1380,924,2214,0.417,248,764,0.325,441,627,0.703,430,1279,469,196,135,414,661,72.5,101.4,0.283,0.345,0.505,48.9,50.8,7.8,9.3,0.473,14.1,31.5,0.199,8.0,R64
Southern Methodist,30,25,5,0.833,18.42,4.56,13,5,16,1,7,4,2319,1903,1200,676,1690,0.4,224,676,0.331,327,513,0.637,313,878,378,220,118,363,536,66.1,96.0,0.304,0.4,0.492,42.6,55.9,11.1,9.3,0.466,15.8,28.5,0.193,NA,NA
Southern,35,22,13,0.629,-7.68,-9.37,11,7,12,1,6,10,2534,2406,1400,832,2001,0.416,234,734,0.319,508,764,0.665,413,1311,411,183,105,482,671,69.5,98.9,0.382,0.367,0.509,51.0,49.4,7.5,7.3,0.474,16.9,31.6,0.254,16.0,R68
St. Bonaventure,31,22,9,0.71,6.55,1.87,14,4,14,3,8,5,2409,2264,1250,788,1808,0.436,218,681,0.32,470,676,0.695,380,1134,440,166,94,409,611,69.1,104.8,0.374,0.377,0.532,50.7,55.8,7.7,8.3,0.496,16.1,33.4,0.26,NA,NA
St. John's (NY),32,8,24,0.25,-1.9,7.94,1,17,6,10,0,10,2174,2472,1280,835,1854,0.45,238,643,0.37,564,795,0.709,355,1265,459,273,109,464,664,73.3,105.4,0.429,0.347,0.554,52.6,55.0,11.6,8.9,0.515,17.2,30.8,0.304,NA,NA
Stanford,30,15,15,0.5,8.06,10.41,8,10,12,5,2,8,2088,2111,1210,728,1647,0.442,228,627,0.364,427,646,0.661,318,1053,420,161,93,402,645,67.3,103.7,0.392,0.381,0.54,50.6,57.7,7.9,8.3,0.511,17.1,31.2,0.259,NA,NA
Stephen F. Austin,34,28,6,0.824,9.23,-5.47,18,0,14,0,9,4,2728,2153,1360,764,1745,0.438,174,544,0.32,451,680,0.663,335,1099,398,181,96,631,687,69.6,91.0,0.39,0.312,0.521,48.1,52.1,7.6,7.4,0.488,23.4,30.0,0.258,14.0,R32
Stony Brook,33,26,7,0.788,3.75,-5.28,14,2,15,1,11,5,2515,2115,1325,770,1887,0.408,212,649,0.327,363,506,0.717,301,1058,365,186,96,418,606,67.8,94.2,0.268,0.344,0.497,44.6,47.4,8.3,6.9,0.464,16.4,25.4,0.192,13.0,R64
Syracuse,37,23,14,0.622,14.62,9.75,9,9,13,4,3,7,2589,2409,1495,877,2127,0.412,259,845,0.307,396,595,0.666,471,1357,570,232,111,491,647,64.9,99.3,0.28,0.397,0.5,50.7,65.0,9.6,9.2,0.473,16.9,35.0,0.186,10.0,F4
Temple,33,21,12,0.636,7.69,6.57,14,4,11,3,8,4,2267,2230,1345,809,1952,0.414,196,628,0.312,416,561,0.742,358,1262,408,144,120,355,520,65.8,100.8,0.287,0.322,0.503,50.7,50.4,6.5,9.5,0.465,13.8,29.5,0.213,10.0,R64
Tennessee,34,15,19,0.441,7.8,7.86,6,12,12,4,1,11,2554,2556,1360,886,2081,0.426,248,726,0.342,536,776,0.691,456,1361,471,204,120,420,690,70.9,106.0,0.373,0.349,0.522,51.3,53.2,8.5,8.9,0.485,14.6,34.5,0.258,NA,NA
