School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION,YEAR
Wake Forest,31.0,11.0,20.0,0.355,5.53,10.53,2.0,16.0,6.0,9.0,3.0,9.0,74.03225806451613,79.03225806451613,1250.0,25.580645161290324,58.193548387096776,0.44,6.290322580645161,19.93548387096774,0.316,16.580645161290324,25.12903225806452,0.66,26.096774193548388,12.161290322580646,38.25806451612903,14.0,5.935483870967742,4.451612903225806,14.548387096774194,20.93548387096774,71.9,102.1,0.432,0.343,0.528,0.509,0.547,0.0819999999999999,0.106,0.494,0.172,0.327,0.285,NA,NA,NA,2016
Washington,34.0,19.0,15.0,0.559,11.21,8.12,9.0,9.0,13.0,5.0,3.0,7.0,83.91176470588235,80.82352941176471,1385.0,28.352941176470587,66.58823529411765,0.426,7.323529411764706,22.11764705882353,0.331,19.88235294117647,27.41176470588235,0.725,26.08823529411765,13.911764705882351,40.0,14.352941176470589,7.588235294117647,6.529411764705882,13.823529411764708,23.91176470588235,78.0,105.7,0.412,0.332,0.527,0.486,0.506,0.96,0.144,0.481,0.148,0.3329999999999999,0.299,NA,NA,NA,2016
Washington State,31.0,9.0,22.0,0.29,0.5,7.97,1.0,17.0,8.0,9.0,0.0,10.0,70.54838709677419,77.2258064516129,1260.0,25.967741935483872,56.774193548387096,0.457,5.935483870967742,17.096774193548388,0.347,12.67741935483871,17.774193548387096,0.713,25.83870967741936,7.967741935483871,33.806451612903224,13.516129032258064,5.0,4.32258064516129,14.193548387096774,19.83870967741936,70.4,98.7,0.313,0.301,0.541,0.486,0.52,0.07,0.103,0.51,0.179,0.242,0.223,NA,NA,NA,2016
Weber State,35.0,26.0,9.0,0.743,0.18,-5.13,15.0,3.0,13.0,1.0,6.0,7.0,76.05714285714286,66.97142857142858,1420.0,25.942857142857143,53.85714285714285,0.482,8.314285714285715,22.428571428571427,0.371,15.857142857142858,23.457142857142856,0.676,28.457142857142856,8.571428571428571,37.02857142857143,13.628571428571428,5.0,3.4,13.2,17.457142857142856,68.6,109.4,0.436,0.416,0.585,0.526,0.525,0.72,0.77,0.559,0.1689999999999999,0.265,0.294,15.0,R64,EAST,2016
West Virginia,35.0,26.0,9.0,0.743,21.61,9.78,13.0,5.0,13.0,2.0,7.0,4.0,78.54285714285714,66.71428571428571,1410.0,26.942857142857143,60.05714285714286,0.449,5.971428571428572,18.37142857142857,0.325,18.685714285714287,27.77142857142857,0.673,23.485714285714284,15.942857142857145,39.42857142857143,14.571428571428571,9.8,2.657142857142857,14.228571428571428,23.4,70.7,110.3,0.462,0.306,0.536,0.561,0.541,0.138,0.85,0.498,0.163,0.419,0.311,3.0,R64,EAST,2016
Western Carolina,34.0,16.0,18.0,0.471,-4.98,-1.53,10.0,8.0,12.0,2.0,3.0,15.0,72.91176470588235,73.23529411764706,1385.0,25.029411764705884,58.61764705882353,0.427,7.117647058823529,21.47058823529412,0.332,15.735294117647058,22.352941176470587,0.704,24.61764705882353,11.882352941176473,36.5,12.558823529411764,8.088235294117647,3.235294117647059,14.264705882352942,20.73529411764705,70.4,101.7,0.381,0.366,0.527,0.502,0.502,0.113,0.92,0.488,0.171,0.321,0.268,NA,NA,NA,2016
Western Illinois,27.0,10.0,17.0,0.37,-6.2,-1.32,3.0,13.0,7.0,6.0,3.0,11.0,70.51851851851852,70.88888888888889,1080.0,25.03703703703704,56.333333333333336,0.444,7.037037037037037,18.14814814814815,0.388,13.407407407407408,18.59259259259259,0.721,26.48148148148148,8.62962962962963,35.111111111111114,13.37037037037037,6.037037037037037,3.2962962962962963,12.296296296296296,20.55555555555556,68.8,102.5,0.33,0.322,0.541,0.501,0.534,0.88,0.86,0.507,0.159,0.252,0.238,NA,NA,NA,2016
Western Kentucky,34.0,18.0,16.0,0.529,-1.29,-0.89,8.0,10.0,12.0,4.0,3.0,9.0,77.05882352941177,76.05882352941177,1385.0,27.205882352941178,57.94117647058823,0.47,6.852941176470588,18.91176470588235,0.362,15.794117647058824,22.58823529411765,0.699,26.647058823529413,11.911764705882351,38.55882352941177,13.617647058823527,4.441176470588236,4.088235294117647,13.235294117647058,17.941176470588236,68.8,109.9,0.39,0.326,0.561,0.5379999999999999,0.501,0.63,0.103,0.529,0.162,0.346,0.273,NA,NA,NA,2016
Western Michigan,32.0,13.0,19.0,0.406,-2.07,0.06,7.0,11.0,10.0,5.0,2.0,12.0,73.1875,73.5,1310.0,24.5625,57.0,0.431,6.15625,17.78125,0.346,17.90625,25.15625,0.712,25.96875,11.21875,37.1875,11.9375,5.71875,2.5,12.53125,19.78125,68.7,104.0,0.441,0.312,0.531,0.52,0.486,0.81,0.75,0.485,0.154,0.307,0.314,NA,NA,NA,2016
Wichita State,35.0,26.0,9.0,0.743,17.39,4.24,16.0,2.0,14.0,1.0,9.0,3.0,72.42857142857143,59.02857142857143,1410.0,24.77142857142857,57.8,0.429,7.142857142857143,22.02857142857143,0.324,15.742857142857142,21.942857142857143,0.717,25.62857142857143,11.657142857142857,37.285714285714285,13.971428571428572,7.285714285714286,3.571428571428572,9.885714285714286,20.142857142857142,66.1,108.8,0.38,0.381,0.531,0.531,0.564,0.109,0.1159999999999999,0.49,0.127,0.317,0.272,11.0,R32,SOUTH,2016
William & Mary,31.0,20.0,11.0,0.645,5.57,1.3,11.0,7.0,12.0,3.0,7.0,7.0,76.90322580645162,71.12903225806451,1250.0,27.193548387096776,56.61290322580645,0.48,7.774193548387097,21.032258064516128,0.37,14.741935483870968,20.516129032258064,0.719,28.483870967741936,8.32258064516129,36.80645161290322,16.161290322580644,5.483870967741935,4.258064516129032,10.67741935483871,16.516129032258064,68.5,111.3,0.362,0.372,0.579,0.515,0.594,0.79,0.1169999999999999,0.549,0.139,0.254,0.26,NA,NA,NA,2016
Winthrop,32.0,23.0,9.0,0.719,-1.42,-5.7,13.0,5.0,14.0,1.0,7.0,7.0,82.21875,75.90625,1280.0,27.8125,58.40625,0.476,8.90625,24.0,0.371,17.6875,23.625,0.749,27.15625,9.09375,36.25,11.8125,5.4375,5.46875,12.59375,18.8125,72.9,112.7,0.404,0.411,0.59,0.491,0.425,0.75,0.127,0.552,0.153,0.268,0.303,NA,NA,NA,2016
Wisconsin,35.0,22.0,13.0,0.629,13.4,9.4,12.0,6.0,13.0,5.0,6.0,5.0,67.8,63.8,1410.0,23.31428571428572,54.77142857142857,0.426,6.542857142857143,18.742857142857144,0.349,14.628571428571428,20.8,0.703,23.714285714285715,11.371428571428572,35.08571428571429,11.428571428571429,5.857142857142857,3.257142857142857,11.028571428571428,16.8,64.1,105.1,0.38,0.342,0.524,0.523,0.49,0.91,0.86,0.485,0.146,0.33,0.267,7.0,S16,EAST,2016
Wofford,32.0,15.0,17.0,0.469,-3.75,-2.35,11.0,7.0,11.0,2.0,4.0,14.0,71.75,71.71875,1295.0,24.09375,53.90625,0.447,8.4375,20.6875,0.408,15.125,20.15625,0.75,23.09375,8.5625,31.65625,14.6875,5.09375,1.75,11.84375,19.0,66.0,107.4,0.374,0.384,0.565,0.502,0.61,0.76,0.47,0.525,0.157,0.267,0.281,NA,NA,NA,2016
Wright State,35.0,22.0,13.0,0.629,0.18,-1.76,13.0,5.0,13.0,2.0,5.0,9.0,68.54285714285714,65.8,1405.0,24.457142857142856,54.74285714285714,0.447,7.314285714285714,19.62857142857143,0.373,12.314285714285717,17.742857142857144,0.694,24.62857142857143,6.628571428571429,31.257142857142856,13.657142857142857,5.514285714285714,2.142857142857143,11.342857142857143,22.0,67.5,101.2,0.324,0.359,0.543,0.474,0.5579999999999999,0.81,0.66,0.514,0.152,0.201,0.225,NA,NA,NA,2016
Wyoming,32.0,14.0,18.0,0.438,0.09,2.19,7.0,11.0,10.0,6.0,4.0,8.0,68.53125,71.9375,1295.0,21.53125,49.0625,0.439,9.59375,25.90625,0.37,15.875,22.1875,0.715,25.4375,5.46875,30.90625,11.625,3.9375,2.5625,10.8125,18.15625,65.5,103.3,0.452,0.528,0.575,0.456,0.54,0.59,0.72,0.537,0.154,0.172,0.324,NA,NA,NA,2016
Xavier,34.0,28.0,6.0,0.824,18.58,8.43,14.0,4.0,15.0,1.0,8.0,3.0,80.5,70.3529411764706,1360.0,27.294117647058822,60.41176470588236,0.452,7.5,20.647058823529413,0.363,18.41176470588235,25.205882352941178,0.73,27.97058823529412,12.823529411764708,40.794117647058826,16.11764705882353,7.235294117647059,2.9705882352941178,12.617647058823527,19.94117647058824,72.4,111.2,0.417,0.342,0.556,0.5489999999999999,0.591,0.1,0.84,0.514,0.148,0.352,0.305,2.0,R32,EAST,2016
Yale,30.0,23.0,7.0,0.767,9.08,-1.03,13.0,1.0,12.0,0.0,9.0,6.0,74.93333333333334,63.8,1205.0,26.5,56.43333333333333,0.47,6.333333333333333,17.433333333333334,0.363,15.6,23.3,0.67,26.7,13.566666666666666,40.266666666666666,15.066666666666666,5.666666666666667,4.566666666666666,13.266666666666667,17.666666666666668,66.9,111.5,0.413,0.309,0.555,0.578,0.569,0.84,0.126,0.526,0.1639999999999999,0.3939999999999999,0.276,12.0,R32,WEST,2016
Youngstown State,32.0,11.0,21.0,0.344,-10.86,-0.86,6.0,12.0,6.0,8.0,3.0,11.0,76.15625,83.8125,1305.0,27.1875,63.15625,0.43,8.03125,22.0,0.365,13.75,19.34375,0.711,24.9375,8.84375,33.78125,14.59375,6.84375,2.5,12.09375,17.84375,74.1,100.7,0.306,0.348,0.526,0.447,0.537,0.91,0.06,0.494,0.143,0.231,0.218,NA,NA,NA,2016
