,Rk,School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
275,276,South Carolina State,34,19,15,.559,-9.99,-8.24,12,4,10,1,6,12,2485,2485,1360,851,1922,.443,248,715,.347,535,742,.721,362,1190,431,151,95,413,651,68.8,106.2,.386,.372,.546,51.0,50.6,6.5,7.0,.507,15.4,31.1,.278
276,277,South Carolina Upstate,32,10,22,.313,-13.78,-4.39,4,10,7,10,3,12,2315,2495,1290,889,1935,.459,270,739,.365,447,643,.695,382,1173,528,220,92,369,526,69.0,112.0,.332,.382,.557,48.9,59.4,9.9,7.2,.529,14.1,32.0,.231
277,278,South Carolina,34,25,9,.735,12.01,5.83,11,7,16,3,5,5,2583,2357,1370,779,1962,.397,287,807,.356,512,751,.682,381,1167,434,215,156,505,768,71.4,96.3,.383,.411,.508,46.0,55.7,8.8,10.9,.470,17.9,29.7,.261
278,279,South Dakota State NCAA,34,26,8,.765,5.44,-1.22,12,4,13,0,8,7,2591,2316,1360,789,1888,.418,207,622,.333,531,736,.721,311,1102,376,192,121,411,708,68.8,99.0,.390,.329,.518,46.3,47.7,8.2,9.8,.473,15.5,25.7,.281
279,280,South Dakota,32,14,18,.438,-5.58,-0.88,5,11,6,6,5,10,2443,2537,1305,852,1875,.454,279,718,.389,554,752,.737,334,1179,477,167,140,447,587,71.7,108.4,.401,.383,.568,52.3,56.0,7.1,10.1,.529,16.7,29.8,.295
280,281,South Florida,33,8,25,.242,-2.85,5.24,4,14,4,14,3,9,2085,2352,1320,817,1978,.413,235,736,.319,483,704,.686,413,1193,495,255,106,314,560,67.1,106.2,.356,.372,.509,48.4,60.6,11.5,7.6,.472,12.0,32.5,.244
281,282,Southeast Missouri State,29,5,24,.172,-16.05,-3.43,2,14,3,10,2,14,1944,2252,1165,824,1734,.475,233,665,.350,371,528,.703,294,1105,516,190,113,395,528,71.5,108.2,.304,.384,.567,52.0,62.6,9.1,9.4,.542,16.6,29.7,.214
282,283,Southeastern Louisiana,33,12,21,.364,-13.61,-7.55,9,9,9,3,2,15,2344,2489,1325,847,1893,.447,268,717,.374,527,805,.655,389,1192,504,214,124,457,648,70.6,106.5,.425,.379,.547,51.1,59.5,9.2,10.5,.518,16.7,32.6,.278
283,284,Southern California NCAA,34,21,13,.618,13.52,7.64,9,9,16,2,3,7,2737,2537,1380,924,2214,.417,248,764,.325,441,627,.703,430,1279,469,196,135,414,661,72.5,101.4,.283,.345,.505,48.9,50.8,7.8,9.3,.473,14.1,31.5,.199
284,285,SIU Edwardsville,28,6,22,.214,-10.78,-2.60,3,13,3,11,3,11,1839,2068,1130,708,1536,.461,175,471,.372,477,675,.707,273,981,380,160,98,336,551,67.7,108.0,.439,.307,.557,49.5,53.7,8.4,9.1,.518,15.3,29.2,.311
285,286,Southern Illinois,32,22,10,.688,2.79,-1.30,11,7,12,4,9,4,2360,2229,1290,764,1687,.453,189,594,.318,512,758,.675,268,1038,377,190,88,478,680,69.9,98.9,.449,.352,.544,47.8,49.3,8.4,7.3,.509,18.9,25.6,.303
